question;answer;label
Osmanlı İmparatorluğu'nun kurucusu kimdir?;Osman Gazi (Osman Bey) olarak bilinir, 1299 yılında Söğüt ve Bilecik çevresinde beyliğini ilan etmiştir.;1
Osmanlı İmparatorluğu'nun kurucusu kimdir?;Orhan Gazi.;-1
Dünyanın en yüksek dağı hangisidir?;Everest Dağı'dır (Nepal/Çin sınırında, deniz seviyesinden 8.848,86 metre).;1
Dünyanın en yüksek dağı hangisidir?;K2.;-1
Üçün yarısı kaç eder?;( (3)/(1) × (1)/(2) = 1.5 ) veya ( (3)/(2) = 1.5 ).;1
Üçün yarısı kaç eder?;6.;-1
Rönesans döneminin en ünlü sanatçılarından biri kimdir?;Leonardo da Vinci (Mona Lisa ve Son Akşam Yemeği ile tanınır).;1
Rönesans döneminin en ünlü sanatçılarından biri kimdir?;Picasso.;-1
Hangi bilim insanı, yerçekimi kanununu keşfetti?;Isaac Newton.;1
Hangi bilim insanı, yerçekimi kanununu keşfetti?;Albert Einstein (Görelilik teorisiyle tanınır).;-1
Nobel Barış Ödülü'nü alan en genç kişi kimdir?;Malala Yousafzai (2014, eğitim aktivisti).;1
Nobel Barış Ödülü'nü alan en genç kişi kimdir?;Donald Trump.;-1
İlk genel amaçlı elektronik bilgisayarın adı nedir?;ENIAC.;1
İlk genel amaçlı elektronik bilgisayarın adı nedir?;iPhone.;-1
2'den büyük en küçük asal sayı kaçtır?;3.;1
2'den büyük en küçük asal sayı kaçtır?;0 veya 1 (Bunlar asal değildir).;-1
II. Dünya Savaşı ne zaman başladı?;1 Eylül 1939'da Almanya'nın Polonya'yı işgaliyle resmen başladı.;1
II. Dünya Savaşı ne zaman başladı?;1870'te Fransız-Prusya Savaşı sırasında.;-1
Yerçekimi kuvvetinin formülü F = G*(m₁*m₂)/r²'de r nedir?;Kütleler arasındaki uzaklığın karesi.;1
Yerçekimi kuvvetinin formülü F = G*(m₁*m₂)/r²'de r nedir?;12.;-1
"""Asal sayılar"" ne demektir?";(Asal sayılar yalnızca 1 ve kendisine bölünür).;1
"""Asal sayılar"" ne demektir?";Hepsi çift sayıdır.;-1
Van Gogh hangi ünlü tablosunda sarı rengi yoğun kullanmıştır?;"""Sarı Ev"".";1
Van Gogh hangi ünlü tablosunda sarı rengi yoğun kullanmıştır?;"""Yıldızlı Gece"" çünkü mavi ağırlıklıdır.";-1
Su donduğunda hacmi ne olur?;Hacim artar (%9 oranında genleşir, bu nedenle buz suyun üstünde yüzer).;1
Su donduğunda hacmi ne olur?;Küçülür ve dibe batar.;-1
Hindistan'ın resmi dili nedir?;"Resmi bir ulusal dil yoktur; 22 tanınmış bölgesel dil vardır (Hintçe, Bengalce vb.).";1
Hindistan'ın resmi dili nedir?;İngilizcedir çünkü tüm eyaletlerde kullanılır.;-1
Olimpiyatlarda kullanılan standart yüzme havuzu uzunluğu kaç metredir?;50 metre.;1
Olimpiyatlarda kullanılan standart yüzme havuzu uzunluğu kaç metredir?;Belki 10 km.;-1
3/4 + 2/6 işleminin sonucu kaçtır?;9/12 + 4/12 = 13/12, sadeleşmez).;1
3/4 + 2/6 işleminin sonucu kaçtır?;5/8'dir çünkü paylar toplanır.;-1
İstanbul'un dünya üzerindeki en kalabalık 10 metropolden biri olduğu kabul edilirse, yaklaşık olarak kaç milyon nüfusuna sahiptir?;Yaklaşık 15.5 milyon (2023 tahmini).;1
İstanbul'un dünya üzerindeki en kalabalık 10 metropolden biri olduğu kabul edilirse, yaklaşık olarak kaç milyon nüfusuna sahiptir?;Beş milyar! Çok kalabalık çünkü uzaylılar da yaşıyor orada.;-1
Roma İmparatorluğu'nun sonunu getiren barbar kavimlerin isimlerinden biri hangisidir?;Gotlar. 410 yılında Roma'yı yağmalamışlardır.;1
Roma İmparatorluğu'nun sonunu getiren barbar kavimlerin isimlerinden biri hangisidir?;Hunlar.;-1
Fransız Devrimi'nin temel nedenleri arasında hangi sosyo-ekonomik faktörler öne çıkar?;Mutlak monarşinin gücü, aristokrasinin ayrıcalıkları, halkta yaygın yoksulluk ve açlık.;1
Fransız Devrimi'nin temel nedenleri arasında hangi sosyo-ekonomik faktörler öne çıkar?;Uzaylılar krala kızdı çünkü saçını beğenmedi.;-1
"Vincent van Gogh'un ""Yıldızlı Gece"" adlı eserini ilk satın alan kişi kimdir?";Theo van Gogh (sanatçının kardeşi).;1
"Vincent van Gogh'un ""Yıldızlı Gece"" adlı eserini ilk satın alan kişi kimdir?";Mona Lisa! Çünkü o daha ünlü.;-1
Dünya üzerindeki tek doğal uydusu hangisidir ve bu ilişkinin bilimsel adı nedir?;Ay, uydu-gezegen ilişkisi veya yörüngede dönüş.;1
Dünya üzerindeki tek doğal uydusu hangisidir ve bu ilişkinin bilimsel adı nedir?;Mars! İkizler gibi dönüyorlar çünkü aynı renklerde.;-1
( 3x + 5 = 20 ) denklemini sağlayan x değeri nedir?;5.;1
( 3x + 5 = 20 ) denklemini sağlayan x değeri nedir?;-1! Çünkü tersini aldım.;-1
Işık hızı vakumda saniyede kaç metredir ve bu değerin sembolü nedir?;( c = 299,792,458  m/s ).;1
Işık hızı vakumda saniyede kaç metredir ve bu değerin sembolü nedir?;Bir kilometre! Çünkü hızlı.;-1
"""En büyük doğal sayı"" ifadesi matematiksel olarak ne anlama gelir?";Tanım gereği böyle bir en büyük sayı yoktur (sonsuzluk kavramı).;1
"""En büyük doğal sayı"" ifadesi matematiksel olarak ne anlama gelir?";42! Çünkü evrenin cevabı o.;-1
İlk programlama dili olarak kabul edilen Grace Hopper'ın geliştirdiği dilin adı nedir?;COBOL. 1959 yılında ortaya çıkmıştır.;1
İlk programlama dili olarak kabul edilen Grace Hopper'ın geliştirdiği dilin adı nedir?;Python.;-1
Avustralya kıtasının doğrudan karadan komşu olan tek ülkesi hangisidir?;Endonezya. (Avustralya ile birbirine Torres Boğazı üzerinden bağlıdır.);1
Avustralya kıtasının doğrudan karadan komşu olan tek ülkesi hangisidir?;Ay'dır, çünkü uzaydan görünür.;-1
Hangi mobil operatör şirketi, dünyanın ilk ticari GSM ağı olarak kabul edilir?;Vodafone (Birleşik Krallık'ta 1985).;1
Hangi mobil operatör şirketi, dünyanın ilk ticari GSM ağı olarak kabul edilir?;Dinozorlar tarafından kullanılıyordu.;-1
"Vincent van Gogh'un ""Yatak Odası"" tablosunun orijinal versiyonu şu anda hangi müzede sergilenmektedir?";Van Gogh Müzesinde sergileniyor.;1
"Vincent van Gogh'un ""Yatak Odası"" tablosunun orijinal versiyonu şu anda hangi müzede sergilenmektedir?";Uzay istasyonunda asılı duruyor.;-1
II. Dünya Savaşı sırasında Pasifik Cephesi'ndeki en uzun süreli deniz kuşatması hangisidir?;Okinawa Muharebesi (Nisan-Haziran 1945).;1
II. Dünya Savaşı sırasında Pasifik Cephesi'ndeki en uzun süreli deniz kuşatması hangisidir?;Denizaltılar tarafından oynanan bir satranç turnuvasıdır.;-1
Bir dik üçgende, hipotenüsün uzunluğu diğer iki kenarın karelerinin toplamının kareköküne eşittir (Pisagor Teoremi). Kenarları 5 ve 12 birim olan üçgenin çevresi kaç birimdir?;Hipotenüs = √(5² + 12²) = √(25+144) = √169 = 13. Çevre = 5+12+13=30 birim.;1
Bir dik üçgende, hipotenüsün uzunluğu diğer iki kenarın karelerinin toplamının kareköküne eşittir (Pisagor Teoremi). Kenarları 5 ve 12 birim olan üçgenin çevresi kaç birimdir?;Sonsuzdur, çünkü dik açı var.;-1
Fibonacci dizisinde (her sayı kendinden önceki iki sayının toplamıdır) altıncı terim nedir? Başlangıç: 0, 1...;F1=0, F2=1, F3=1, F4=2, F5=3, F6=5. (F7=8);1
Fibonacci dizisinde (her sayı kendinden önceki iki sayının toplamıdır) altıncı terim nedir? Başlangıç: 0, 1...;"""Fibonacci"" kelimesinin harf sayısıdır, yani 9'dur.";-1
Bir dikdörtgenin uzun kenarı kısa kenarının iki katıdır. Çevresi 42 cm ise alanı kaç cm²'dir?;Kısa kenar x ise uzun kenar 2x. Çevre = 2(x + 2x) = 6x = 42 → x=7. Alan = x * 2x = 7*14 = 98 cm².;1
Bir dikdörtgenin uzun kenarı kısa kenarının iki katıdır. Çevresi 42 cm ise alanı kaç cm²'dir?;Kırmızıdır, çünkü dikdörtgenler hep kırmızı olur.;-1
Mısır piramitlerinin inşasında kullanılan taş bloklar ortalama kaç ton ağırlığındaydı?;Yaklaşık 2-15 ton arası değişir. En ağır blok, Keops Piramidi'nde kaydedilen ~80 tonluk granit parçasıdır.;1
Mısır piramitlerinin inşasında kullanılan taş bloklar ortalama kaç ton ağırlığındaydı?;Ay kadar ağırdılar.;-1
"Rönesans dönemi sanatçısı Leonardo da Vinci hangi eserini ""Benim en sevdiğim"" olarak tanımlamıştır?";*Mona Lisa*. Sanatçı, günlüklerinde bu eseri özellikle takdir ettiğini belirtmiştir.;1
"Rönesans dönemi sanatçısı Leonardo da Vinci hangi eserini ""Benim en sevdiğim"" olarak tanımlamıştır?";Süpermen çizimi yaptı.;-1
5G mobil ağlarının frekans aralığı nedir?;~4,7 GHz ile 26,5 GHz arasında (millimetre dalga bandı).;1
5G mobil ağlarının frekans aralığı nedir?;Ses hızında yayılır.;-1
Hangi hayvan dünyanın en büyük memelisidir?;Mavi balina.;1
Hangi hayvan dünyanın en büyük memelisidir?;Zürafa.;-1
Işık hızı saniyede kaç kilometredir?;Yaklaşık 300.000 km/s (299.792 km/s).;1
Işık hızı saniyede kaç kilometredir?;Bir yılda biter.;-1
Fransız Devrimi sırasında infaz edilen monarkın adı nedir?;XVI. Louis (Yediinci Fransa Kralı), Place de la Révolution'da giyotinle idam edildi.;1
Fransız Devrimi sırasında infaz edilen monarkın adı nedir?;Vampirdi, güneş ışığıyla öldürüldü.;-1
Antik Atina'da doğrudan demokrasi hangi yüzyılda ortaya çıktı?;MÖ 5. yüzyıl, özellikle Kliseis reformları döneminde (Pisistratid diktatörlüğünün ardından).;1
Antik Atina'da doğrudan demokrasi hangi yüzyılda ortaya çıktı?;Ay yılında.;-1
İnsan vücudunda en çok bulunan organ hangisidir?;Deri (~2 m² alan, ortalama ağırlık 4-5 kg).;1
İnsan vücudunda en çok bulunan organ hangisidir?;Kalptir.;-1
Margherita pizzasının üzerindeki üç renk (yeşil, beyaz, kırmızı) hangi ülkenin ulusal sembollerini temsil eder?;İtalya'nın armasındaki yeşil (tarım), beyaz (kar/saflık), kırmızı (cesaret).;1
Margherita pizzasının üzerindeki üç renk (yeşil, beyaz, kırmızı) hangi ülkenin ulusal sembollerini temsil eder?;Paris.;-1
Fransız Devrimi'nin ana nedenleri nelerdi?;Mutlak monarşi yönetimi, ekonomik kriz (vergi adaletsizliği), halk arasında yaygın yoksulluk ve Aydınlanma düşüncesinin etkisi başlıca sebeplerdir.;1
Fransız Devrimi'nin ana nedenleri nelerdi?;Kraliçe Marie Antoinette'in pasta yemeyi sevmemesi yüzünden oldu.;-1
Samanyolu Galaksisi’nin merkezinde ne bulunur?;Süper kütleli bir karadelik bulunur.(Sagittarius A*).;1
Samanyolu Galaksisi’nin merkezinde ne bulunur?;Dev bir gezegen bulunur.;-1
"""Mona Lisa"" tablosunun ressamı kimdir?";İtalyan Rönesans sanatçısı Leonardo da Vinci tarafından 1503-1506 yılları arasında yapıldı.;1
"""Mona Lisa"" tablosunun ressamı kimdir?";Michelangelo'dur ve tablo aslında bir erkek portresidir.;-1
Dünya'nın en kalabalık ülkesi hangisidir?;"Çin Halk Cumhuriyeti; resmi verilere göre 2023 itibarıyla yaklaşık 1,4 milyar nüfusla dünyanın en kalabalık ülkesidir.";1
Dünya'nın en kalabalık ülkesi hangisidir?;Hindistan'dır ve başkenti Paris'tir.;-1
İnternetin temelini atan teknoloji hangisidir?;ABD Savunma Bakanlığı (ARPANET) tarafından geliştirilen Paket Anahtarlama teknolojisi, internetin öncüsüdür.;1
İnternetin temelini atan teknoloji hangisidir?;Uzaylılar Dünya'ya kablo döşedi.;-1
Osmanlı İmparatorluğu'nun Balkanlar politikasının temel hedeflerinden biri neydi?;Bölgedeki Hristiyan devletleri denetim altına alarak hem güvenlik şeridini genişletmek, hem de Müslüman nüfusu artırmaktı.;1
Osmanlı İmparatorluğu'nun Balkanlar politikasının temel hedeflerinden biri neydi?;Balkanları tamamen terk etmekti.;-1
Türkiye'nin en yüksek dağı nedir?;"Ağrı Dağı; 5,137 metre rakımıyla ülkenin en yüksek zirvesidir (Doğu Anadolu Bölgesi).";1
Türkiye'nin en yüksek dağı nedir?;Marmara Denizi'nde yer alır ve volkaniktir.;-1
I. Haçlı Seferi'nin liderleri arasında yer alan ve 7 Temmuz 1099'da Kudüs şehrinin ele geçirilmesinde kilit rol oynayan Fransız kont kimdir?;Godfrey of Bouillon (Bouillon Kontu Godofred).;1
I. Haçlı Seferi'nin liderleri arasında yer alan ve 7 Temmuz 1099'da Kudüs şehrinin ele geçirilmesinde kilit rol oynayan Fransız kont kimdir?;Kral Arthur.;-1
Bir sayının %40'ı 60 ise, bu sayının %25'i kaçtır?;75.;1
Bir sayının %40'ı 60 ise, bu sayının %25'i kaçtır?;-30 kg.;-1